DAY,JN,CW,PS,HZ,JN,,EK,DATE,EVENT 1,CLASSROOM,"Shift 1
8am - 9.30am","Shift 2
12.30pm - 2pm","Shift 3
4.30pm - 6pm",EVENT 2,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 3,CLASSROOM,Shift 1,Shift 2,Shift,EVENT 4,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 5,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 6,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 7,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 8,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 9,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 9,CLASSROOM,Shift 1,Shift 2,Shift 3
Monday,,,,,,,,23-Dec-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,24-Dec-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,25-Dec-24,CHRISTMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,26-Dec-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,27-Dec-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,28-Dec-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,29-Dec-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,30-Dec-24,UNIVERSITY LEAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,31-Dec-24,UNIVERSITY LEAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,1-Jan-25,NEW YEAR 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,2-Jan-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,3-Jan-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,4-Jan-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,5-Jan-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,6-Jan-25,,,,,,,,,,,,,,,,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,7-Jan-25,"1x 50"" hub with Camera (Sharina SMT)",SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,8-Jan-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,9-Jan-25,CPE,Zoom,NC,NC,NC,NGSCSL,Zoom (SCA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,10-Jan-25,CPE,Zoom,NC,NC,NC,NGSCSL,Zoom (SCA),,,,"1x 85"" (Yu Ling EPD)",,,,,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,11-Jan-25,,,,,,NGSCSL,Zoom (SCA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,12-Jan-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,13-Jan-25,,,,,,CGAIProf,Zoom,JL,JL,JL,,,,,,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,14-Jan-25,,,,,,CGAIProf,Zoom,JL,JL,JL,"5x 50"" hub 5x hub Pen (Cat DIO) ",SA,,,,"1x 50"" hub (Alan MTD) collect 2.612A  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,15-Jan-25,,,,,,BMI,Zoom (SCA),,,,"5x 50"" hub 5x hub Pen (Cat DIO)",SA,,,,"1x 50"" hub (Alan MTD) collect 2.612A  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,16-Jan-25,,,,,,,,,,,"1x 50"" hub with Camera (Sharina SMT)",SA,,,,"1x 50"" hub (Alan MTD) collect 2.612A  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,17-Jan-25,,,,,,,,,,,"1x 50"" hub with Camera (Sharina SMT)",SA,,,,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,18-Jan-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,19-Jan-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,20-Jan-25,DSCPAPA,Zoom (SCA),,,,CSM,Zoom,AL,AL,AL,,,,,,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,21-Jan-25,DSCPAPA,Zoom (SCA),,,,CSM,Zoom,AL,AL,AL,"5x 50"" hub 4x hub Pen (Cat DIO) Collect 2.612A",2.612A,,,,"4x 85"" hub with Mallampalli (EPD)",2.612A & 1.311A,,,,"1x 50"" (Yu Ling EPD)",SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,22-Jan-25,DSCPAPA,Zoom (SCA),,,,CSPO,Zoom,JL,JL,JL,"5x 50"" hub 4x hub Pen (Cat DIO) Collect 2.612A",2.612A,,,,"4x 85"" hub with Mallampalli (EPD)",2.612A & 1.311A,,,,"1x 50"" (Yu Ling EPD)",SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,23-Jan-25,,,,,,CSPO,Zoom,JL,JL,JL,"5x 50"" hub 4x hub Pen (Cat DIO) Collect 2.612A",2.612A,,,,"4x 85"" hub with Mallampalli (EPD)",2.612A & 1.311A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,24-Jan-25,,,,,,,,,,,,,,,,"4x 85"" hub with Mallampalli (EPD)",2.612A & 1.311A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,25-Jan-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,26-Jan-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,27-Jan-25,,,,,,,,,,,,,,,,"4x 85"" hub with Mallampalli (EPD)",2.612A & 1.311A,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,28-Jan-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,29-Jan-25,CNY 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,30-Jan-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,31-Jan-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,1-Feb-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,2-Feb-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,3-Feb-25,,,,,,,,,,,,,,,,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,4-Feb-25,FPI,TT19,XF,XF,XF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,5-Feb-25,,,,,,,,,,,"4x 85"" hub Claudia (CDC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,6-Feb-25,,,,,,,,,,,RSDD,1.311A,NC,NC,NC,,,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,7-Feb-25,RSAF - FDS,TT19,NC,NC,NC,,,,,,RSDD,1.311A,JL,JL,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,8-Feb-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,9-Feb-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,10-Feb-25,,,,,,,,,,,SCIMPBIS,Zoom (SCA),,,,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,11-Feb-25,FPI,TT19,XF,XF,XF,CEACSASC,Zoom,JL,JL,JL,SCIMPBIS,Zoom (SCA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,12-Feb-25,,,,,,CEACSASC,Zoom,JL,,,SCIMPBIS,Zoom (SCA),,,,"4x 50"" hub & 2 x 85"" (Toe Oo Zaw OEI)",SA & 2.612A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,13-Feb-25,,,,,,CEACSASC,Zoom,JL,JL,JL,,,,,,"4x 50"" hub & 2 x 85"" (Toe Oo Zaw OEI)",SA & 2.612A,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,14-Feb-25,CEACSASC,TT19,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,15-Feb-25,,,,,,FSCITWBT,Zoom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,16-Feb-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,17-Feb-25,,,,,,,,,,,,,,,,CGAIProf,1.311A,JL,JL,JL,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,18-Feb-25,RSAF - FDS,2.612A,SS,SS,SS,FPI,TT19,XF,XF,XF,CSM,Zoom,DA,DA,,CGAIProf,1.311A,JL,JL,JL,FDIB,TT24/25,NC,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,19-Feb-25, , , , , ,,,,,,CSM,Zoom,DA,DA,DA,"Alan ST EP (Loan 85"" Hub)",,,,,FDIB,TT24/25,NC,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,20-Feb-25,FDIB,TT24/25,NC,NC,NC,CSPO,Zoom,XF,XF,,CEACSASC,Zoom,JL,JL,JL,"Alan ST EP (Loan 85"" Hub)",,,,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,21-Feb-25,RSAF - FDS,TT19,NC,NC,NC,CSPO,Zoom,XF,XF,XF,CEACSASC,Zoom,AL,AL,AL,"Jasline OIT 
(Loan 85"" Hub x 1
 50"" x 9)",,,,,"Yu Ling ROAR 
1 x 50""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,22-Feb-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,23-Feb-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,24-Feb-25,ISSCELT,Zoom (SCA),,,,,,,,,,,,,,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,25-Feb-25,ISSCELT,Zoom (SCA),,,,FPI,TT19,XF,XF,XF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,26-Feb-25,ISSCELT,Zoom (SCA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,27-Feb-25,,,,,,,,,,,,,,,,"Alan ST EP (Loan 85"" Hub)",,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,28-Feb-25,RSAF - FDS,TT19,NC,NC,NC,"1x 50"" hub with Camera (Sharina SMT)",,,,,,,,,,"Alan ST EP (Loan 85"" Hub)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,1-Mar-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,2-Mar-25,,,,,,,,,,,FSCITWBT,Overseas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,3-Mar-25,,,,,,,,,,,FSCITWBT,Overseas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,4-Mar-25,FPI,Zoom,XF,XF,,,,,,,FSCITWBT,Overseas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,5-Mar-25,,,,,,,,,,,FSCITWBT,Overseas,,,,,,,,,"Alan ST EP (Loan 85"" Hub)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,6-Mar-25,RSAF - FDS,Zoom,AL,AL,,,,,,,FSCITWBT,Overseas,,,,,,,,,"Alan ST EP (Loan 85"" Hub)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,7-Mar-25,,,,,,,,,,,FSCITWBT,Overseas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,8-Mar-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,9-Mar-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,10-Mar-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,,,,,,,,11-Mar-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,12-Mar-25,,,,,,,,,,,MAIEG - Certis + 10 laptops,2.612A,AL,AL,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,13-Mar-25,,,,,,SWLDEIAR,Zoom (SCA),,,,MAIEG - Certis + 10 laptops,2.612A,AL,AL,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,14-Mar-25,,,,,,SWLDEIAR,Zoom (SCA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,15-Mar-25,,,,,,SWLDEIAR,Zoom (SCA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,16-Mar-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,17-Mar-25,,,,,,,,,,,,,,,,CGAIProf,Zoom,JL,JL,,Certis AI D1,Comp Lab 1.611,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,18-Mar-25,GCGAI Project Management,1.311A,DA,DA,DA,FPI,Zoom,NC,NC,,CSM,Zoom,AL,AL,,CGAIProf,Zoom,JL,JL,JL,"1x 50"" hub (Yu Ling ROAR 10am - 12pm)",SA Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,19-Mar-25,GCGAI Project Management,1.311A,DA,DA,DA,,,,,,CSM,Zoom,AL,AL,AL,,,,,,SC4BIOE,Zoom (SCA),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,20-Mar-25,RSAF - FDS,Online,NC,NC, ,"1x 85"" hub (Esther Peh OIR)",1.311A,,,,,,,,,CSPO,Zoom,DA,DA,,SC4BIOE,Zoom (SCA),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,21-Mar-25,,,,,,,,,,,,,,,,CSPO,Zoom,DA,DA,DA,SC4BIOE,Zoom (SCA),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,22-Mar-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,23-Mar-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,24-Mar-25,,,,,,CPE,Zoom,DA,DA,,DII 6 Hub,TT24/25 + Elvin zoom,JL,JL,JL,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,25-Mar-25,DWPP(Healthcare),TT19,SS,SS,SS,CPE,Zoom,DA,DA,DA,"1x50"" hub- Yu Ling return by lunch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,26-Mar-25,MAIEG,1.311A,AL,AL,AL,,,,,,DII 6 Hub,TT24/25 + Elvin zoom,JL,JL,JL,"4x 50"" hub  4x pen & 20 DI Handbook (Cat DZ)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,27-Mar-25,MAIEG,1.311A,AL,AL,AL,PCS,2.612A,SS,SS,SS,,,,,,"4x 50"" hub  4x pen & 20 DI Handbook (Cat DZ)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,28-Mar-25,RSAF - DSV,TT19,DA,DA,DA,PCS,2.612A,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,29-Mar-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,30-Mar-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,31-Mar-25,Hari Raya Puasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,AC,BG,HZ,,,EK,1-Apr-25,DWPP(Healthcare),TT19,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,2-Apr-25,Room loan: Temasek Labs / AI Mega Centre,2.612A,,,,HR Room booking,1.311A,,,,"1x50"" hub- Chrsitine Wong HASS 1.30pm - 2.30pm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,3-Apr-25,,,,,,HR Room Booking,1.311A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,4-Apr-25,RSAF - DSV,TT19,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,5-Apr-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,6-Apr-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,7-Apr-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,8-Apr-25,DWPP(Healthcare),TT19,SS,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,9-Apr-25,SUSR,1.311A,NC,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,10-Apr-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,11-Apr-25,RSAF - DSV,TT19,NC,NC,NC,"3x 50"" hub with 3 HDMI cable (Hilmi EPD)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,12-Apr-25,,,,,,"3x 50"" hub with 3 HDMI cable (Hilmi EPD)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,13-Apr-25,,,,,,"3x 50"" hub with 3 HDMI cable (Hilmi EPD)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,14-Apr-25,CGAIP,1.311A,AL,AL,AL,"3x 50"" hub with 3 HDMI cable (Hilmi EPD)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,15-Apr-25,DWPP(Healthcare),2.612A,SS,SS,SS,CGAIP,1.311A,AL,AL,AL,,,,,,"Alan ST EP (1 50"" Hub)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,16-Apr-25,CSPO,Zoom,JL,JL,,,,,,,,,,,,"Alan ST EP (1 50"" Hub)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,17-Apr-25,CSPO,Zoom,JL,JL,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,18-Apr-25,Good Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,19-Apr-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,20-Apr-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,21-Apr-25,AI-STC meeting ,1.311A,,,, DII 6 Hub,TT24/25 + Elvin zoom,NC,NC,NC,AI-STC meeting ,Library Training Room,,,DA,"Yu Ling (1 50"" Hub)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,22-Apr-25,DWPP(Healthcare),Zoom,SS,SS,,,,,,,CSM,Zoom,AL,AL,,,,,,,Certis AI D1,Comp Lab 1.611 & Zoom (2 Guest from Aust) Hybrid set-up with 2 jabra speaker,DA,DA,DA,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,23-Apr-25,,,,,, DII 6 Hub,TT24/25 + Elvin zoom,NC,NC,NC,CSM,Zoom,AL,AL,AL,,,,,,"3 x 50"" Hub (DAI Esther Pang)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,24-Apr-25,,,,,,,,,,,CPE,Zoom,JL,JL,,ACSM,Zoom ,AL,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,25-Apr-25,RSAF - DSV,TT19,DA,DA,DA,OCBC IDS,TT20,SS,SS,SS,CPE,Zoom,JL,JL,JL,ACSM,Zoom,AL,AL,AL,"4 x 50"" Hub (ESD Lim Lee Cheng)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,26-Apr-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,27-Apr-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,28-Apr-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,29-Apr-25,,,,,,,,,,,,,,,,,,,,,Certis AI D2,Comp Lab 1.611,SS,SS,DO,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,30-Apr-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,1-May-25,Labour Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,2-May-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,3-May-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,4-May-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,5-May-25,"Calvin (Loan 50"" Hub)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,6-May-25,DWPP(Healthcare),Zoom,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,7-May-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,8-May-25,PODS,Zoom,RT,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,9-May-25,RSAF - DSV (PM),Zoom,,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,10-May-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,11-May-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,12-May-25,Vesak Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,13-May-25,DVSAP (Healthcare),TT20,RT,RT,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,14-May-25,,,,,,"Cindy Chong (Loan 6x50"" Hub)",,,,,,,,,,"Daniel Seah OMC (Loan 50"" Hub)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
